iter	Logloss
0	0.6677675502
1	0.644153416
2	0.6439180105
3	0.6409781132
4	0.6325895393
5	0.6318725624
6	0.6166914124
7	0.597771134
8	0.5976143661
9	0.58148536
10	0.5813461876
11	0.5791153035
12	0.57846593
13	0.5779184019
14	0.5651132938
15	0.5650126311
16	0.5576723347
17	0.546501198
18	0.5464159696
19	0.5360217186
20	0.5359457821
21	0.5312356821
22	0.5175970449
23	0.5044142803
24	0.5005768311
25	0.4953041251
26	0.4939796996
27	0.491154566
28	0.4848804956
29	0.4745287477
30	0.4744870055
31	0.4697223511
32	0.4696853398
33	0.4678325963
34	0.4633127332
35	0.4632814265
36	0.4579511573
37	0.4569183054
38	0.4568909403
39	0.4568651381
40	0.4518963967
41	0.4474552613
42	0.4443257651
43	0.4388564883
44	0.4388358154
45	0.4364958313
46	0.4364779138
47	0.4293785686
48	0.4204344572
49	0.4188138873
50	0.4172959997
51	0.4150992337
52	0.4100100305
53	0.4037913865
54	0.3984396123
55	0.3978170211
56	0.3978063434
57	0.3977961409
58	0.3946451821
59	0.3946363517
60	0.3946280599
61	0.3889911087
62	0.3859778616
63	0.3847160519
64	0.3840521533
65	0.3818872949
66	0.3818823336
67	0.3800111398
68	0.3767747877
69	0.3767707684
70	0.3714787803
71	0.3698986015
72	0.3647334109
73	0.3641501432
74	0.3628059906
75	0.3581679427
76	0.3540553028
77	0.3510724907
78	0.3510681076
79	0.3506432289
80	0.3506396494
81	0.3502764267
82	0.3490030975
83	0.3485362043
84	0.3461139587
85	0.3449948638
86	0.3449871396
87	0.3430003987
88	0.3429981424
89	0.3425296037
90	0.3416608815
91	0.3398247927
92	0.3398226411
93	0.3380451602
94	0.3363161453
95	0.3350457636
96	0.3350233085
97	0.3350219258
98	0.3322058982
99	0.3322047693
100	0.3312589121
101	0.3307771446
102	0.3305830524
103	0.3305821369
104	0.3305814263
105	0.3289529166
106	0.3289521485
107	0.3287104901
108	0.326795904
109	0.3226021351
110	0.3215980531
111	0.3209969067
112	0.3209963265
113	0.3185030766
114	0.3185024078
115	0.3167816444
116	0.3167810533
117	0.3167793321
118	0.3155578633
119	0.3152523638
120	0.3146690248
121	0.3146686599
122	0.3142882464
123	0.3137903075
124	0.3134077062
125	0.3129706902
126	0.3129701771
127	0.3129698685
128	0.3115734762
129	0.3111971238
130	0.3099637692
131	0.3095046452
132	0.3090198054
133	0.3090197117
134	0.3088987073
135	0.307577326
136	0.3073151933
137	0.3048175546
138	0.3048175883
139	0.3048175233
140	0.3048175659
141	0.3048174496
142	0.3042427711
143	0.3027449639
144	0.3024004248
145	0.3021463686
146	0.3009431868
147	0.3008335604
148	0.300113002
149	0.2999096661
150	0.2979643824
151	0.2969872792
152	0.2965886223
153	0.2958461034
154	0.2955587218
155	0.2951376517
156	0.2951376674
157	0.2951377106
158	0.2945700894
159	0.2940759978
160	0.2940756914
161	0.2935538326
162	0.2935537225
163	0.2898470789
164	0.2890498063
165	0.2890498337
166	0.2890499164
167	0.2887625781
168	0.2884030702
169	0.2883470944
170	0.2878072345
171	0.2862757733
172	0.2862756712
173	0.2853417079
174	0.2851057944
175	0.2851058181
176	0.2828166336
177	0.2828108607
178	0.2827661886
179	0.2825104256
180	0.2823799094
181	0.2823798768
182	0.2822392886
183	0.2805306635
184	0.2805307055
185	0.2803645691
186	0.279828582
187	0.2795119616
188	0.2788237026
189	0.2787731083
190	0.2785019229
191	0.2785017516
192	0.2783555667
193	0.2773147407
194	0.2761556319
195	0.2761556024
196	0.2758320029
197	0.2758320546
198	0.2758263545
199	0.2758263343
200	0.2756919098
201	0.2756917451
202	0.2756918165
203	0.2756868547
204	0.2755058423
205	0.2731517531
206	0.2731518155
207	0.2714351249
208	0.2699087173
209	0.2699087498
210	0.2698457233
211	0.2695336102
212	0.2694285998
213	0.2691254983
214	0.2691253593
215	0.2671145884
216	0.26711456
217	0.2671145884
218	0.2662586303
219	0.2660979284
220	0.2660956686
221	0.2658656957
222	0.2652341124
223	0.2646290298
224	0.262943806
225	0.2629103668
226	0.2624581826
227	0.2624570639
228	0.2623780938
229	0.2623336811
230	0.2622581036
231	0.2622582701
232	0.2619775958
233	0.2618475192
234	0.2615533119
235	0.2614392899
236	0.2613600215
237	0.2611790907
238	0.2610303629
239	0.2610054568
240	0.260763392
241	0.260738558
242	0.2605151304
243	0.2602232252
244	0.2602037264
245	0.2601543829
246	0.2581333187
247	0.2581331815
248	0.2579492256
249	0.2575679555
250	0.2575678619
251	0.2573966001
252	0.2567410708
253	0.2547815205
254	0.2544038906
255	0.2542445518
256	0.2542313433
257	0.2542313229
258	0.2536649227
259	0.2530832743
260	0.2530535942
261	0.2529247502
262	0.2529248836
263	0.2529122629
264	0.2522861975
265	0.2522818349
266	0.2505228774
267	0.2497356411
268	0.2495501309
269	0.2495500303
270	0.2492889412
271	0.2487429052
272	0.248098021
273	0.2480980212
274	0.247977606
275	0.2477564601
276	0.2476802644
277	0.2467577099
278	0.2461208343
279	0.2455632311
280	0.2421687687
281	0.2421687295
282	0.2421686331
283	0.2421685502
284	0.2412024644
285	0.2406861823
286	0.2406860886
287	0.239620992
288	0.2396066035
289	0.239108019
290	0.2387876451
291	0.2387875816
292	0.2373414044
293	0.2363268235
294	0.2363268323
295	0.2363267491
296	0.2363047164
297	0.2361151325
298	0.2361152535
299	0.2359215009
300	0.235912833
301	0.2356506011
302	0.2353160806
303	0.2346891791
304	0.2344169543
305	0.234416896
306	0.2336980999
307	0.2327548157
308	0.2313656387
309	0.2310351197
310	0.2292495986
311	0.2292384069
312	0.2287152185
313	0.2272614579
314	0.2269662221
315	0.2269660559
316	0.2267215191
317	0.2265937342
318	0.2263236989
319	0.2263237443
320	0.2263167284
321	0.2263166883
322	0.2262167093
323	0.2262168177
324	0.2262106777
325	0.2257586411
326	0.222982661
327	0.2229827335
328	0.2226202065
329	0.2220532144
330	0.2220518659
331	0.2212009848
332	0.2207845764
333	0.2201311203
334	0.218536095
335	0.2184975565
336	0.218464744
337	0.2184617686
338	0.2184617403
339	0.2177860686
340	0.217710245
341	0.217390663
342	0.2170753279
343	0.2170230175
344	0.2170037699
345	0.216998857
346	0.2162896899
347	0.2162665234
348	0.2162428981
349	0.216229848
350	0.2161184254
351	0.2161183214
352	0.2138341518
353	0.2138340519
354	0.2136902681
355	0.2134062144
356	0.2134061439
357	0.2133998322
358	0.2133996852
359	0.2133131804
360	0.2133130765
361	0.213178432
362	0.213178314
363	0.2130528475
364	0.2129507222
365	0.2123253052
366	0.211531525
367	0.211292305
368	0.211286269
369	0.2112708058
370	0.2092279882
371	0.2089843942
372	0.2087370517
373	0.2087088171
374	0.2080392615
375	0.2077664924
376	0.2077666704
377	0.2077663982
378	0.2077665102
379	0.2074510273
380	0.2073789465
381	0.2073789465
382	0.2073788822
383	0.2060039623
384	0.2058686526
385	0.2058687152
386	0.2058685952
387	0.2052042827
388	0.2032189595
389	0.2031074547
390	0.2031074544
391	0.203082887
392	0.2030827523
393	0.2030827425
394	0.2029078971
395	0.2025804616
396	0.202131044
397	0.2020182046
398	0.2020181224
399	0.2005263543
400	0.200522122
401	0.2004374477
402	0.2004169396
403	0.2004096153
404	0.2004050189
405	0.2004050029
406	0.2004036654
407	0.1995352242
408	0.1994016519
409	0.1992008708
410	0.1992010158
411	0.1992009942
412	0.1990422298
413	0.1990422084
414	0.1990421534
415	0.1984205931
416	0.1976247889
417	0.1976247602
418	0.1976159967
419	0.1962431474
420	0.1961507156
421	0.1961466482
422	0.1961429903
423	0.1961429155
424	0.1961373548
425	0.196137351
426	0.1951970935
427	0.1951825408
428	0.1951149271
429	0.1951150311
430	0.1951150306
431	0.194996544
432	0.1949967076
433	0.1947856347
434	0.1947803324
435	0.1947671689
436	0.1947049121
437	0.1944131922
438	0.1944132946
439	0.1944132823
440	0.1944133014
441	0.1943464524
442	0.1939901863
443	0.1936790364
444	0.1934479636
445	0.1933023153
446	0.1932968459
447	0.1932820661
448	0.1932660104
449	0.1932661886
450	0.1932370491
451	0.1932371839
452	0.1931687721
453	0.1930653054
454	0.1930652878
455	0.192898772
456	0.1928915619
457	0.1927288382
458	0.1926603279
459	0.1906770842
460	0.1906239135
461	0.1906238041
462	0.1906238867
463	0.1906224175
464	0.1906225062
465	0.1901972682
466	0.1901973181
467	0.1883503808
468	0.188281385
469	0.1882366048
470	0.1878021529
471	0.1870899446
472	0.1870555611
473	0.1870556131
474	0.186982616
475	0.1869605719
476	0.1868780619
477	0.1868781857
478	0.1865897194
479	0.1865349029
480	0.1863175197
481	0.1863160094
482	0.1862922558
483	0.186292297
484	0.1861650618
485	0.1861651757
486	0.1861556116
487	0.1860168702
488	0.1845811359
489	0.1845810797
490	0.1837780497
491	0.1837709532
492	0.1837709433
493	0.1837306773
494	0.1837266147
495	0.1837067998
496	0.1832895533
497	0.1831703482
498	0.1830227591
499	0.1830227979
500	0.182773123
501	0.181862014
502	0.1818583016
503	0.1818416289
504	0.1818394872
505	0.1818394599
506	0.1818394329
507	0.181839495
508	0.1818327793
509	0.1818325966
510	0.1818326388
511	0.1817898866
512	0.1817372656
513	0.1817338921
514	0.1817339841
515	0.1810342122
516	0.1810341093
517	0.1809902699
518	0.1809538224
519	0.1809508957
520	0.180827261
521	0.1807855533
522	0.1805668031
523	0.1804087422
524	0.180408785
525	0.1803223526
526	0.180319122
527	0.180319183
528	0.1801705857
529	0.1800935784
530	0.1800922316
531	0.179967592
532	0.1799677194
533	0.1799518885
534	0.1798850996
535	0.179885017
536	0.1785276114
537	0.1765268013
538	0.1762118075
539	0.1762116745
540	0.1754084633
541	0.1752491768
542	0.1749689955
543	0.1749113885
544	0.1747622334
545	0.1746646847
546	0.1746647117
547	0.1746508353
548	0.1746230589
549	0.1745010502
550	0.1744160511
551	0.1743259108
552	0.174288228
553	0.1740942396
554	0.1740925407
555	0.1739089033
556	0.1737539672
557	0.173746234
558	0.1734427784
559	0.173443021
560	0.1734430229
561	0.1734349033
562	0.1734330837
563	0.1733921923
564	0.1733921987
565	0.1733036585
566	0.1732517629
567	0.1732516016
568	0.1732516097
569	0.17282265
570	0.1721910127
571	0.1721888004
572	0.1721887465
573	0.1713824059
574	0.1713674047
575	0.1703037424
576	0.1686637581
577	0.1686573625
578	0.1686069027
579	0.1683612524
580	0.1680338657
581	0.1680337822
582	0.1680337908
583	0.1680067871
584	0.1680045871
585	0.1660938504
586	0.1660938835
587	0.1659330882
588	0.1659315867
589	0.1658117951
590	0.1656727617
591	0.1656728389
592	0.1655820103
593	0.1655083171
594	0.1654926823
595	0.1654833528
596	0.1654815527
597	0.1654815803
598	0.1641357269
599	0.1629019105
600	0.1629020467
601	0.1615909151
602	0.1609630977
603	0.1608825486
604	0.1606599047
605	0.1604273799
606	0.1603880815
607	0.1603663486
608	0.1600415005
609	0.1599142151
610	0.159914197
611	0.1599125608
612	0.159912498
613	0.1599009497
614	0.1598569712
615	0.1597574176
616	0.1597575052
617	0.1597554288
618	0.159743975
619	0.159720923
620	0.1595130807
621	0.1592419324
622	0.1589983227
623	0.1589290704
624	0.1589274598
625	0.1589263611
626	0.1587997074
627	0.1587996147
628	0.1587996677
629	0.1587888396
630	0.158787868
631	0.1587863579
632	0.1585351053
633	0.1585351053
634	0.1585350844
635	0.1584185811
636	0.158418517
637	0.1584052751
638	0.1583386667
639	0.1562405323
640	0.1562405545
641	0.1561121472
642	0.1561120441
643	0.1561120005
644	0.1561103203
645	0.1560600406
646	0.1560392716
647	0.1560386094
648	0.1559681388
649	0.1559550228
650	0.1559551397
651	0.155948717
652	0.1553880029
653	0.1547783908
654	0.1547784646
655	0.154258453
656	0.1542096846
657	0.1542090596
658	0.1539433954
659	0.1538969758
660	0.1531897639
661	0.1531589928
662	0.1531586215
663	0.1530164396
664	0.1530146251
665	0.1521404867
666	0.1521404771
667	0.152126718
668	0.1520864156
669	0.1520864333
670	0.1520864481
671	0.1508383641
672	0.1507689393
673	0.1507689062
674	0.1507442246
675	0.1506208016
676	0.1505722718
677	0.150558311
678	0.1504885033
679	0.1504556964
680	0.1504558467
681	0.1504290768
682	0.1498696975
683	0.1495912317
684	0.1495914404
685	0.1495913059
686	0.1495913339
687	0.149589112
688	0.14955018
689	0.1494790542
690	0.1492434002
691	0.1490809352
692	0.1490206465
693	0.1487673127
694	0.1487643228
695	0.1487063017
696	0.1486969395
697	0.1482772546
698	0.1482773596
699	0.1482768476
700	0.148276842
701	0.1482623568
702	0.1482489444
703	0.147912957
704	0.1479129803
705	0.1475345233
706	0.1474950267
707	0.1474951014
708	0.1474950666
709	0.1459450148
710	0.1459369514
711	0.1458731333
712	0.145693802
713	0.1456273438
714	0.1455888462
715	0.1444042364
716	0.1443359745
717	0.1443126265
718	0.1443126268
719	0.1443125853
720	0.142488334
721	0.1424882717
722	0.14193664
723	0.141890337
724	0.1418884593
725	0.1418466034
726	0.1418466614
727	0.1418466297
728	0.1417943972
729	0.1417943369
730	0.1417700315
731	0.1416587156
732	0.1416431786
733	0.1416306189
734	0.1416096866
735	0.1416097301
736	0.1416097571
737	0.1409618927
738	0.1409619055
739	0.1408009924
740	0.1407991174
741	0.140797883
742	0.1407978317
743	0.1407933828
744	0.140793476
745	0.1407927831
746	0.139500093
747	0.1395000254
748	0.1394722014
749	0.1394715355
750	0.1393442098
751	0.1393337902
752	0.1392266251
753	0.1388421945
754	0.1381250081
755	0.1379077112
756	0.1378090995
757	0.137414191
758	0.1370834569
759	0.1366806179
760	0.1366793276
761	0.1363288534
762	0.1362262374
763	0.1356958562
764	0.1354422156
765	0.1354183537
766	0.1352547165
767	0.1352544469
768	0.1352544488
769	0.1352544514
770	0.1352343656
771	0.1349921593
772	0.1349730376
773	0.134914386
774	0.1338677484
775	0.1338505217
776	0.1334131921
777	0.1333967872
778	0.1333967634
779	0.1332220851
780	0.1331814772
781	0.1331814047
782	0.1331809228
783	0.1324160745
784	0.1324151872
785	0.1310949918
786	0.1310949818
787	0.131084753
788	0.1310779388
789	0.1309891711
790	0.1305351609
791	0.1305097294
792	0.1305096405
793	0.1300465501
794	0.1300456989
795	0.1300365572
796	0.1300332128
797	0.130033141
798	0.1300235391
799	0.1300235921
800	0.1299972037
801	0.1296934252
802	0.1296639526
803	0.1294551817
804	0.1294539017
805	0.1288629119
806	0.1288574297
807	0.1288568179
808	0.1287690529
809	0.128719666
810	0.128291012
811	0.1279771632
812	0.1272689325
813	0.1272689578
814	0.1272689526
815	0.127229158
816	0.126361828
817	0.126361781
818	0.1263616829
819	0.1263295815
820	0.1260217961
821	0.1255536611
822	0.1254849983
823	0.1249590416
824	0.1249562067
825	0.1247448768
826	0.1245793312
827	0.1244812502
828	0.1241462424
829	0.1241373034
830	0.123170633
831	0.1231706806
832	0.1231380952
833	0.1231370382
834	0.1230858483
835	0.1229484026
836	0.1228473318
837	0.122594316
838	0.1225943244
839	0.1225943256
840	0.1225942676
841	0.1225917123
842	0.1219444871
843	0.1216510523
844	0.1213923669
845	0.1213923446
846	0.1206049593
847	0.1205571923
848	0.1200432548
849	0.1196977733
850	0.1196071788
851	0.119135509
852	0.1191093912
853	0.1186900475
854	0.1186900553
855	0.1186899818
856	0.1186808768
857	0.1186810031
858	0.118657046
859	0.1181777911
860	0.1173207576
861	0.1169994964
862	0.1157158567
863	0.1155761847
864	0.1155650887
865	0.1151304438
866	0.1149914814
867	0.114663584
868	0.1146580246
869	0.1144325163
870	0.1143564415
871	0.1141916876
872	0.1141836095
873	0.1141774943
874	0.1141272397
875	0.1138851693
876	0.1138612365
877	0.1138573578
878	0.1138574416
879	0.1137707296
880	0.1137623326
881	0.1137525054
882	0.1137444376
883	0.1124514143
884	0.112255047
885	0.1122138136
886	0.1118254319
887	0.1117678618
888	0.111767832
889	0.1117678567
890	0.111750033
891	0.1117501064
892	0.1116237655
893	0.111438248
894	0.1114354633
895	0.1113959077
896	0.1113754873
897	0.1113582002
898	0.1113572654
899	0.1113377749
900	0.1112666176
901	0.1112436321
902	0.1112436985
903	0.1112359215
904	0.1111302419
905	0.1111302743
906	0.1110050688
907	0.11075406
908	0.110752204
909	0.1107521857
910	0.1100057195
911	0.1100056369
912	0.110005679
913	0.1100047867
914	0.1099924033
915	0.1099923824
916	0.1099854132
917	0.1099852677
918	0.1099853253
919	0.109762297
920	0.1097193578
921	0.1094912148
922	0.1090031006
923	0.1085449749
924	0.10838782
925	0.1083607093
926	0.1083349441
927	0.1083197353
928	0.1083065111
929	0.1082035484
930	0.10817928
931	0.1081792859
932	0.1080812107
933	0.1078580293
934	0.1078579679
935	0.1078579004
936	0.1078579107
937	0.1078579525
938	0.1073061062
939	0.1071610274
940	0.1071559698
941	0.1069875472
942	0.1068811249
943	0.1068810944
944	0.1068106071
945	0.1067997134
946	0.1067966494
947	0.1067967137
948	0.1067967493
949	0.1067967817
950	0.1067657715
951	0.1064626876
952	0.1064594274
953	0.1064594395
954	0.1063927991
955	0.106386344
956	0.1063862343
957	0.1058795985
958	0.1057137789
959	0.1056860182
960	0.1055065992
961	0.105481171
962	0.1051318191
963	0.1045820009
964	0.10417471
965	0.1041542718
966	0.1041542402
967	0.1041542195
968	0.1041543029
969	0.1041543134
970	0.1041542966
971	0.1041535516
972	0.1033441174
973	0.1033441484
974	0.103342824
975	0.1033366167
976	0.1033365494
977	0.1033341185
978	0.1032303584
979	0.1024343404
980	0.1023979868
981	0.1023947348
982	0.1023948141
983	0.102366985
984	0.1023196755
985	0.102317682
986	0.1023177131
987	0.1023170974
988	0.1023165893
989	0.1021735137
990	0.1021735017
991	0.1021735125
992	0.1021735176
993	0.1021228978
994	0.1021229206
995	0.1021224995
996	0.1020879084
997	0.1020848387
998	0.1020821722
999	0.1020532732
