iter	Passed	Remaining
0	6	6067
1	76	38290
2	76	25576
3	77	19216
4	77	15410
5	77	12893
6	78	11086
7	78	9755
8	78	8681
9	79	7843
10	79	7138
11	79	6555
12	79	6064
13	80	5645
14	80	5305
15	80	4981
16	81	4699
17	81	4448
18	81	4218
19	81	4015
20	82	3826
21	82	3657
22	82	3521
23	84	3449
24	85	3326
25	86	3234
26	86	3120
27	86	3015
28	87	2927
29	88	2876
30	89	2786
31	89	2703
32	89	2624
33	89	2553
34	90	2490
35	90	2426
36	91	2370
37	91	2312
38	91	2256
39	91	2202
40	92	2152
41	92	2107
42	92	2067
43	93	2029
44	93	1988
45	94	1949
46	94	1911
47	96	1909
48	98	1913
49	99	1881
50	99	1850
51	99	1820
52	100	1790
53	105	1843
54	105	1816
55	105	1785
56	106	1755
57	106	1725
58	107	1706
59	107	1681
60	107	1655
61	108	1646
62	109	1629
63	110	1612
64	111	1596
65	111	1578
66	111	1556
67	112	1537
68	112	1519
69	112	1499
70	113	1485
71	113	1466
72	115	1464
73	115	1448
74	116	1431
75	116	1418
76	118	1417
77	119	1407
78	119	1391
79	119	1376
80	120	1361
81	120	1347
82	120	1333
83	120	1318
84	121	1309
85	121	1294
86	122	1280
87	122	1270
88	122	1256
89	123	1244
90	123	1234
91	124	1224
92	124	1212
93	125	1205
94	125	1196
95	126	1186
96	126	1175
97	126	1163
98	127	1160
99	127	1149
100	128	1139
101	128	1128
102	128	1118
103	128	1107
104	128	1097
105	129	1089
106	129	1080
107	129	1071
108	130	1063
109	134	1087
110	134	1079
111	135	1072
112	135	1063
113	136	1061
114	136	1053
115	138	1052
116	138	1044
117	138	1036
118	139	1030
119	139	1023
120	139	1015
121	139	1007
122	140	999
123	140	993
124	141	987
125	141	980
126	141	973
127	141	965
128	143	965
129	143	959
130	143	954
131	144	950
132	145	947
133	145	940
134	145	935
135	146	930
136	146	924
137	148	929
138	149	923
139	149	916
140	149	910
141	149	903
142	149	898
143	151	897
144	151	894
145	151	888
146	152	884
147	152	879
148	153	873
149	153	869
150	153	864
151	154	861
152	154	856
153	155	852
154	155	847
155	155	843
156	156	837
157	156	832
158	156	827
159	156	823
160	156	817
161	157	813
162	157	808
163	161	821
164	161	817
165	161	812
166	161	806
167	162	802
168	162	798
169	162	793
170	162	789
171	164	793
172	165	791
173	166	792
174	167	789
175	167	785
176	170	791
177	170	788
178	171	784
179	171	780
180	171	776
181	171	772
182	172	769
183	173	769
184	173	765
185	173	761
186	174	758
187	174	754
188	175	753
189	175	750
190	176	748
191	176	744
192	177	740
193	177	738
194	178	736
195	178	732
196	179	729
197	179	725
198	179	722
199	179	718
200	180	715
201	180	711
202	180	707
203	180	704
204	180	701
205	185	715
206	185	712
207	187	715
208	188	711
209	188	708
210	188	704
211	188	701
212	189	698
213	189	695
214	189	691
215	197	716
216	197	712
217	197	708
218	198	706
219	198	703
220	198	700
221	199	697
222	199	694
223	200	693
224	201	693
225	201	690
226	202	688
227	202	685
228	202	682
229	203	679
230	203	676
231	203	673
232	203	670
233	203	667
234	204	664
235	204	661
236	204	658
237	204	655
238	205	653
239	205	650
240	205	648
241	205	645
242	206	642
243	206	640
244	207	638
245	207	636
246	208	636
247	209	633
248	209	631
249	209	629
250	209	626
251	210	623
252	210	621
253	215	632
254	216	631
255	216	629
256	216	627
257	217	624
258	217	622
259	217	620
260	218	617
261	218	615
262	218	612
263	218	609
264	219	607
265	219	605
266	220	604
267	220	602
268	221	601
269	221	598
270	222	597
271	222	595
272	223	595
